Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Copa Liga Profesional,13/11/2020,22:00,Rosario Central,Banfield,,,,2.43,3.65,3.4,2.2,3.23,3.12
Argentina,Copa Liga Profesional,14/11/2020,00:15,Atl. Tucuman,Union de Santa Fe,,,,2.35,3.33,3.47,2.22,3.09,3.21
Argentina,Copa Liga Profesional,14/11/2020,17:00,Aldosivi,San Lorenzo,,,,2.81,3.28,2.64,2.69,3.09,2.56
Argentina,Copa Liga Profesional,14/11/2020,19:15,Lanus,Newells Old Boys,,,,2.52,3.27,2.97,2.44,3.12,2.86
Argentina,Copa Liga Profesional,14/11/2020,21:45,Racing Club,Arsenal Sarandi,,,,1.85,4.05,4.2,1.77,3.86,3.94
Brazil,Serie A,14/11/2020,19:30,Santos,Internacional,3.92,3.44,1.98,4.15,3.58,2.1,3.86,3.4,1.96
Brazil,Serie A,14/11/2020,19:30,Sport Recife,Vasco,2.41,3.23,3.24,2.5,3.26,3.3,2.34,3.14,3.13
Brazil,Serie A,14/11/2020,20:00,Goias,Athletico-PR,3.6,3.53,2.11,3.7,3.55,2.15,3.49,3.36,2.08
Brazil,Serie A,14/11/2020,22:00,Corinthians,Atletico-MG,3.53,3.62,2.11,3.7,3.75,2.15,3.44,3.52,2.04
Brazil,Serie A,14/11/2020,22:00,Fortaleza,Sao Paulo,3.66,3.14,2.26,3.66,3.2,2.28,3.46,3.07,2.21
Brazil,Serie A,14/11/2020,22:00,Gremio,Ceara,1.72,3.83,5.15,1.78,4,5.25,1.7,3.64,4.95
Brazil,Serie A,15/11/2020,00:30,Flamengo RJ,Atletico GO,1.37,5.3,8.15,1.42,5.3,8.15,1.39,4.8,7.4
Brazil,Serie A,15/11/2020,00:30,Palmeiras,Fluminense,1.84,3.45,4.93,1.89,3.8,5.15,1.81,3.39,4.61
Brazil,Serie A,16/11/2020,21:00,Coritiba,Bahia,3.49,2.94,2.43,3.49,3.05,2.45,3.31,2.91,2.37
Brazil,Serie A,16/11/2020,23:00,Botafogo RJ,Bragantino,2.69,3.13,2.88,2.7,3.25,2.98,2.59,3.08,2.79
Finland,Veikkausliiga,14/11/2020,14:00,TPS,KTP,,,,1.93,3.5,4.4,1.88,3.32,4.07
Ireland,Premier Division,15/11/2020,14:30,Shelbourne,Longford,,,,1.87,3.25,3.8,1.86,3.24,3.75
Japan,J1 League,14/11/2020,05:00,Hiroshima,Yokohama,1.47,4.54,7.52,1.52,4.54,7.52,1.47,4.29,6.4
Japan,J1 League,14/11/2020,05:00,Sapporo,Sagan Tosu,1.94,3.83,3.95,1.98,3.83,4,1.91,3.6,3.77
Japan,J1 League,14/11/2020,05:00,Shimizu,C-Osaka,3.37,4.23,2.02,3.5,4.23,2.11,3.29,3.81,2
Japan,J1 League,14/11/2020,06:00,G-Osaka,Vegalta Sendai,1.54,4.89,5.65,1.62,4.92,6,1.54,4.36,5.32
Japan,J1 League,14/11/2020,07:00,Yokohama M.,Urawa,1.78,4.75,3.89,1.79,4.75,4.1,1.75,4.32,3.8
Japan,J1 League,14/11/2020,08:00,Kashima,Kawasaki Frontale,3.41,4.18,2.01,3.48,4.18,2.15,3.27,3.81,2
Japan,J1 League,15/11/2020,05:00,Kobe,Shonan,1.64,4.33,5.29,1.73,4.35,5.37,1.63,4.04,4.83
Japan,J1 League,15/11/2020,10:00,Nagoya,FC Tokyo,2.57,3.55,2.8,2.58,3.55,2.88,2.46,3.35,2.74
Romania,Liga 1,14/11/2020,19:00,Din. Bucuresti,Astra,1.85,3.53,4.69,1.88,3.57,4.69,1.81,3.4,4.28
